TimePeriod,Gross domestic product,Personal consumption expenditures,Gross private domestic investment,Change in private inventories,Exports,Imports,Government consumption expenditures and gross investment,Residual,Net exports of goods and services,Goods,Services,Durable goods,Nondurable goods,Fixed investment,Nonresidential,Structures,Equipment,Intellectual property products,Residential,Federal,National defense,Nondefense,State and local
1947Q1,"2,033,061","1,274,952","218,091","6,462","97,759","60,271","524,076","-28,008",,,,,,,,,,,,,,,
1947Q2,"2,027,639","1,296,163","201,386","-4,482","96,526","61,432","523,632","-24,154",,,,,,,,,,,,,,,
1947Q3,"2,023,452","1,300,388","195,461","-17,483","91,627","54,482","523,527","-15,586",,,,,,,,,,,,,,,
1947Q4,"2,055,103","1,300,801","233,284","-2,924","81,245","57,419","519,285","-19,169",,,,,,,,,,,,,,,
1948Q1,"2,086,017","1,307,283","257,220","14,604","77,539","64,749","527,020","-32,899",,,,,,,,,,,,,,,
1948Q2,"2,120,450","1,322,494","273,138","27,780","70,290","67,316","545,609","-51,544",,,,,,,,,,,,,,,
1948Q3,"2,132,598","1,324,446","275,936","32,463","71,943","70,831","556,992","-58,351",,,,,,,,,,,,,,,
1948Q4,"2,134,981","1,335,016","262,741","25,117","69,407","69,682","577,508","-65,127",,,,,,,,,,,,,,,
1949Q1,"2,105,562","1,337,177","223,507","-2,563","77,714","67,592","592,826","-55,507",,,,,,,,,,,,,,,
1949Q2,"2,098,380","1,357,672","193,795","-22,620","77,048","66,606","618,586","-59,496",,,,,,,,,,,,,,,
1949Q3,"2,120,044","1,360,751","209,862","-4,956","70,613","63,891","621,848","-74,183",,,,,,,,,,,,,,,
1949Q4,"2,102,251","1,380,702","199,540","-22,605","61,127","64,853","610,962","-62,621",,,,,,,,,,,,,,,
1950Q1,"2,184,872","1,403,690","246,911","9,481","60,119","66,665","599,626","-68,290",,,,,,,,,,,,,,,
1950Q2,"2,251,507","1,426,807","273,335","13,840","60,846","70,345","610,577","-63,553",,,,,,,,,,,,,,,
1950Q3,"2,338,514","1,500,076","296,831","18,173","62,424","86,806","600,720","-52,904",,,,,,,,,,,,,,,
1950Q4,"2,383,291","1,454,855","334,548","58,208","67,483","86,969","643,161","-87,995",,,,,,,,,,,,,,,
1951Q1,"2,415,660","1,490,034","300,363","36,167","70,856","86,975","711,604","-106,389",,,,,,,,,,,,,,,
1951Q2,"2,457,517","1,447,928","307,326","52,586","77,829","84,092","806,453","-150,513",,,,,,,,,,,,,,,
1951Q3,"2,508,166","1,464,796","284,697","34,675","79,741","76,971","895,100","-173,872",,,,,,,,,,,,,,,
1951Q4,"2,513,690","1,473,330","262,013","14,902","78,993","74,958","942,439","-183,029",,,,,,,,,,,,,,,
1952Q1,"2,540,550","1,476,743","268,850","18,698","83,197","83,655","970,486","-193,770",,,,,,,,,,,,,,,
1952Q2,"2,546,022","1,505,663","248,580","-4,548","74,051","83,222","1,003,558","-198,061",,,,,,,,,,,,,,,
1952Q3,"2,564,401","1,512,885","261,906","20,717","68,203","88,314","1,013,710","-224,707",,,,,,,,,,,,,,,
1952Q4,"2,648,621","1,566,256","280,772","20,774","68,670","96,232","1,030,617","-222,237",,,,,,,,,,,,,,,
1953Q1,"2,697,855","1,584,651","286,813","16,788","67,509","93,861","1,063,267","-227,311",,,,,,,,,,,,,,,
1953Q2,"2,718,709","1,594,191","288,445","16,470","67,929","98,728","1,085,069","-234,667",,,,,,,,,,,,,,,
1953Q3,"2,703,411","1,590,393","282,411","9,990","70,652","98,352","1,073,550","-225,234",,,,,,,,,,,,,,,
1953Q4,"2,662,482","1,579,729","262,005","-8,565","68,324","93,514","1,070,876","-216,373",,,,,,,,,,,,,,,
1954Q1,"2,649,755","1,585,556","260,127","-7,611","65,260","88,114","1,043,038","-208,501",,,,,,,,,,,,,,,
1954Q2,"2,652,643","1,606,146","259,513","-12,255","74,636","96,039","1,007,718","-187,076",,,,,,,,,,,,,,,
1954Q3,"2,682,601","1,627,882","272,037","-9,763","72,238","90,246","985,925","-175,473",,,,,,,,,,,,,,,
1954Q4,"2,735,091","1,662,047","283,968","-3,605","75,564","91,102","979,990","-171,771",,,,,,,,,,,,,,,
1955Q1,"2,813,212","1,699,340","312,337","14,533","78,372","96,485","980,565","-175,449",,,,,,,,,,,,,,,
1955Q2,"2,858,988","1,731,894","331,333","21,445","76,545","101,956","970,944","-171,217",,,,,,,,,,,,,,,
1955Q3,"2,897,598","1,753,286","336,418","19,570","81,568","103,672","977,156","-166,728",,,,,,,,,,,,,,,
1955Q4,"2,914,993","1,775,302","344,218","26,955","81,936","107,428","957,768","-163,758",,,,,,,,,,,,,,,
1956Q1,"2,903,671","1,778,186","334,390","22,735","85,825","111,938","957,520","-163,047",,,,,,,,,,,,,,,
1956Q2,"2,927,665","1,784,101","331,759","15,796","91,608","111,356","976,854","-161,097",,,,,,,,,,,,,,,
1956Q3,"2,925,035","1,788,135","328,788","12,256","94,657","112,323","968,270","-154,748",,,,,,,,,,,,,,,
1956Q4,"2,973,179","1,812,786","325,739","10,849","98,898","107,168","992,905","-160,830",,,,,,,,,,,,,,,
1957Q1,"2,992,219","1,825,394","320,682","5,867","105,343","115,692","1,014,192","-163,566",,,,,,,,,,,,,,,
1957Q2,"2,985,663","1,828,576","320,357","8,439","102,222","116,596","1,008,948","-166,283",,,,,,,,,,,,,,,
1957Q3,"3,014,919","1,843,026","327,701","12,330","99,365","114,348","1,017,538","-170,693",,,,,,,,,,,,,,,
1957Q4,"2,983,727","1,843,793","302,503","-11,490","96,403","114,742","1,034,278","-167,019",,,,,,,,,,,,,,,
1958Q1,"2,906,274","1,818,286","282,096","-14,383","86,848","116,450","1,025,345","-175,467",,,,,,,,,,,,,,,
1958Q2,"2,925,379","1,833,319","276,413","-12,537","87,255","121,427","1,050,923","-188,567",,,,,,,,,,,,,,,
1958Q3,"2,993,068","1,863,736","297,627","6,356","87,509","119,582","1,056,956","-199,535",,,,,,,,,,,,,,,
1958Q4,"3,063,085","1,889,052","323,004","16,719","87,194","125,837","1,078,266","-205,313",,,,,,,,,,,,,,,
1959Q1,"3,121,936","1,923,675","340,604","13,551","93,516","129,091","1,067,299","-187,618",,,,,,,,,,,,,,,
1959Q2,"3,192,380","1,953,384","367,099","34,312","92,769","135,333","1,080,519","-200,371",,,,,,,,,,,,,,,
1959Q3,"3,194,653","1,973,791","343,391","4,061","101,715","136,602","1,089,758","-181,461",,,,,,,,,,,,,,,
1959Q4,"3,203,759","1,976,014","354,567","20,104","96,682","133,129","1,080,847","-191,324",,,,,,,,,,,,,,,
1960Q1,"3,275,757","1,994,918","390,210","50,183","109,142","138,173","1,062,413","-192,936",,,,,,,,,,,,,,,
1960Q2,"3,258,088","2,020,082","353,841","14,339","112,273","139,209","1,074,342","-177,579",,,,,,,,,,,,,,,
1960Q3,"3,274,029","2,012,008","352,942","20,278","114,720","135,112","1,100,615","-191,421",,,,,,,,,,,,,,,
1960Q4,"3,232,009","2,014,614","313,843","-23,603","115,331","128,739","1,108,247","-167,684",,,,,,,,,,,,,,,
1961Q1,"3,253,826","2,013,865","321,988","-10,761","114,538","128,113","1,124,703","-182,394",,,,,,,,,,,,,,,
1961Q2,"3,309,059","2,043,835","344,549","9,285","109,207","129,675","1,127,518","-195,659",,,,,,,,,,,,,,,
1961Q3,"3,372,581","2,053,774","371,335","30,813","114,143","138,263","1,151,600","-210,820",,,,,,,,,,,,,,,
1961Q4,"3,438,721","2,095,084","377,479","25,565","116,004","141,551","1,176,849","-210,709",,,,,,,,,,,,,,,
