year,period,periodName,unemployment_rate,employed,Unemployed,civilian_labor_force,civilian_labor_force_participation_rate
1948,M01,January,3.4,58061,2034,60095,58.6
1948,M02,February,3.8,58196,2328,60524,58.9
1948,M03,March,4.0,57671,2399,60070,58.5
1948,M04,April,3.9,58291,2386,60677,59.0
1948,M05,May,3.5,57854,2118,59972,58.3
1948,M06,June,3.6,58743,2214,60957,59.2
1948,M07,July,3.6,58968,2213,61181,59.3
1948,M08,August,3.9,58456,2350,60806,58.9
1948,M09,September,3.8,58513,2302,60815,58.9
1948,M10,October,3.7,58387,2259,60646,58.7
1948,M11,November,3.8,58417,2285,60702,58.7
1948,M12,December,4.0,58740,2429,61169,59.1
1949,M01,January,4.3,58175,2596,60771,58.7
1949,M02,February,4.7,58208,2849,61057,59.0
1949,M03,March,5.0,58043,3030,61073,58.9
1949,M04,April,5.3,57747,3260,61007,58.8
1949,M05,May,6.1,57552,3707,61259,59.0
1949,M06,June,6.2,57172,3776,60948,58.6
1949,M07,July,6.7,57190,4111,61301,58.9
1949,M08,August,6.8,57397,4193,61590,59.2
1949,M09,September,6.6,57584,4049,61633,59.1
1949,M10,October,7.9,57269,4916,62185,59.6
1949,M11,November,6.4,58009,3996,62005,59.4
1949,M12,December,6.6,57845,4063,61908,59.2
1950,M01,January,6.5,57635,4026,61661,58.9
1950,M02,February,6.4,57751,3936,61687,58.9
1950,M03,March,6.3,57728,3876,61604,58.8
1950,M04,April,5.8,58583,3575,62158,59.2
1950,M05,May,5.5,58649,3434,62083,59.1
1950,M06,June,5.4,59052,3367,62419,59.4
1950,M07,July,5.0,59001,3120,62121,59.1
1950,M08,August,4.5,59797,2799,62596,59.5
1950,M09,September,4.4,59575,2774,62349,59.2
1950,M10,October,4.2,59803,2625,62428,59.4
1950,M11,November,4.2,59697,2589,62286,59.3
1950,M12,December,4.3,59429,2639,62068,59.2
1951,M01,January,3.7,59636,2305,61941,59.1
1951,M02,February,3.4,59661,2117,61778,59.1
1951,M03,March,3.4,60401,2125,62526,59.8
1951,M04,April,3.1,59889,1919,61808,59.1
1951,M05,May,3.0,60188,1856,62044,59.4
1951,M06,June,3.2,59620,1995,61615,59.0
1951,M07,July,3.1,60156,1950,62106,59.4
1951,M08,August,3.1,59994,1933,61927,59.2
1951,M09,September,3.3,59713,2067,61780,59.1
1951,M10,October,3.5,60010,2194,62204,59.4
1951,M11,November,3.5,59836,2178,62014,59.2
1951,M12,December,3.1,60497,1960,62457,59.6
1952,M01,January,3.2,60460,1972,62432,59.5
1952,M02,February,3.1,60462,1957,62419,59.5
1952,M03,March,2.9,59908,1813,61721,58.9
1952,M04,April,2.9,59909,1811,61720,58.8
1952,M05,May,3.0,60195,1863,62058,59.1
1952,M06,June,3.0,60219,1884,62103,59.1
1952,M07,July,3.2,59971,1991,61962,58.9
1952,M08,August,3.4,59790,2087,61877,58.7
1952,M09,September,3.1,60521,1936,62457,59.2
1952,M10,October,3.0,60132,1839,61971,58.7
1952,M11,November,2.8,60748,1743,62491,59.1
1952,M12,December,2.7,60954,1667,62621,59.2
1953,M01,January,2.9,61600,1839,63439,59.5
1953,M02,February,2.6,61884,1636,63520,59.5
1953,M03,March,2.6,62010,1647,63657,59.6
1953,M04,April,2.7,61444,1723,63167,59.1
1953,M05,May,2.5,61019,1596,62615,58.6
1953,M06,June,2.5,61456,1607,63063,58.9
1953,M07,July,2.6,61397,1660,63057,58.9
1953,M08,August,2.7,61151,1665,62816,58.6
1953,M09,September,2.9,60906,1821,62727,58.5
1953,M10,October,3.1,60893,1974,62867,58.5
1953,M11,November,3.5,60738,2211,62949,58.6
1953,M12,December,4.5,59977,2818,62795,58.3
1954,M01,January,4.9,60024,3077,63101,58.6
1954,M02,February,5.2,60663,3331,63994,59.3
1954,M03,March,5.7,60186,3607,63793,59.1
1954,M04,April,5.9,60185,3749,63934,59.2
1954,M05,May,5.9,59908,3767,63675,58.9
1954,M06,June,5.6,59792,3551,63343,58.5
1954,M07,July,5.8,59643,3659,63302,58.4
1954,M08,August,6.0,59853,3854,63707,58.7
1954,M09,September,6.1,60282,3927,64209,59.2
1954,M10,October,5.7,60270,3666,63936,58.8
1954,M11,November,5.3,60357,3402,63759,58.6
1954,M12,December,5.0,60116,3196,63312,58.1
1955,M01,January,4.9,60753,3157,63910,58.6
1955,M02,February,4.7,60727,2969,63696,58.4
1955,M03,March,4.6,60964,2918,63882,58.5
1955,M04,April,4.7,61515,3049,64564,59.0
1955,M05,May,4.3,61634,2747,64381,58.8
1955,M06,June,4.2,61781,2701,64482,58.8
1955,M07,July,4.0,62513,2632,65145,59.3
1955,M08,August,4.2,62797,2784,65581,59.7
